"Region","Health Authority","Year","Gender","Total","LT1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+"
0,"British Columbia",2019,"M",2510789,22280,95153,124318,124454,141731,176365,181991,185610,175532,155047,160604,168106,184589,171427,147193,119199,79555,51071,31041,15523
0,"British Columbia",2019,"F",2560547,21039,88646,117485,120203,135391,160166,172030,180501,176193,160669,170093,177664,193354,182633,158253,127773,86767,59772,40790,31125
0,"British Columbia",2019,"T",5071336,43319,183799,241803,244657,277122,336531,354021,366111,351725,315716,330697,345770,377943,354060,305446,246972,166322,110843,71831,46648
1,"Interior",2019,"M",413475,3277,14412,19123,19558,21184,23935,25218,26037,26042,23884,24688,26388,33413,34416,30461,25095,16659,10848,6131,2706
1,"Interior",2019,"F",413839,2965,13573,18494,19227,19709,20585,22569,24984,25706,22819,25132,28142,35543,36020,30892,25122,17364,11695,7704,5594
1,"Interior",2019,"T",827314,6242,27985,37617,38785,40893,44520,47787,51021,51748,46703,49820,54530,68956,70436,61353,50217,34023,22543,13835,8300
2,"Fraser",2019,"M",947960,9412,39871,53375,53145,60912,74800,67724,69062,67585,60782,62676,65031,66885,57748,46522,37352,24631,16151,9721,4575
2,"Fraser",2019,"F",958973,8823,36878,50019,50989,57911,65214,62606,66908,68655,64100,66506,67522,68097,61180,51039,41246,28628,19487,13160,10005
2,"Fraser",2019,"T",1906933,18235,76749,103394,104134,118823,140014,130330,135970,136240,124882,129182,132553,134982,118928,97561,78598,53259,35638,22881,14580
3,"Vancouver Coastal",2019,"M",582470,5053,19276,23920,23956,30164,41904,52044,52409,44541,37263,38822,40069,41188,37151,31032,24648,16771,10814,7387,4058
3,"Vancouver Coastal",2019,"F",611507,4659,17804,21765,23281,29273,42052,51925,52014,44925,40159,42996,43973,44569,39590,34715,27628,18643,14261,9756,7519
3,"Vancouver Coastal",2019,"T",1193977,9712,37080,45685,47237,59437,83956,103969,104423,89466,77422,81818,84042,85757,76741,65747,52276,35414,25075,17143,11577
4,"Vancouver Island",2019,"M",420460,3160,14579,19125,19199,20941,25302,25892,27082,27430,24358,25073,26754,32011,32237,31456,26638,17789,11193,6686,3555
4,"Vancouver Island",2019,"F",438325,3149,13865,18970,18537,20418,23389,24763,26518,27271,25206,26570,28457,34913,36598,34589,28307,18874,12163,8762,7006
4,"Vancouver Island",2019,"T",858785,6309,28444,38095,37736,41359,48691,50655,53600,54701,49564,51643,55211,66924,68835,66045,54945,36663,23356,15448,10561
5,"Northern",2019,"M",146424,1378,7015,8775,8596,8530,10424,11113,11020,9934,8760,9345,9864,11092,9875,7722,5466,3705,2065,1116,629
5,"Northern",2019,"F",137903,1443,6526,8237,8169,8080,8926,10167,10077,9636,8385,8889,9570,10232,9245,7018,5470,3258,2166,1408,1001
5,"Northern",2019,"T",284327,2821,13541,17012,16765,16610,19350,21280,21097,19570,17145,18234,19434,21324,19120,14740,10936,6963,4231,2524,1630
